AAA
AAD
AAD imm8u
AAM
AAM imm8u
AAS
ADC AL, imm8u
CMOVLE r64, r/m64
CMOVNA r16, r/m16
CMOVNA r32, r/m32
CMOVNA r64, r/m64
CMOVNAE r16, r/m16
CMOVNAE r32, r/m32
CMOVNAE r64, r/m64
CMOVNB r16, r/m16
CMOVNB r32, r/m32
CMOVNB r64, r/m64
CMOVNBE r16, r/m16
CMOVNBE r32, r/m32
CMOVNBE r64, r/m64
CMOVNC r16, r/m16
CMOVNC r32, r/m32
CMOVNC r64, r/m64
CMOVNE r16, r/m16
CMOVNE r32, r/m32
CMOVNE r64, r/m64
CMOVNG r16, r/m16
CMOVNG r32, r/m32
CMOVNG r64, r/m64
CMOVNGE r16, r/m16
CMOVNGE r32, r/m32
CMOVNGE r64, r/m64
CMOVNL r16, r/m16
CMOVNL r32, r/m32
CMOVNL r64, r/m64
CMOVNLE r16, r/m16
CMOVNLE r32, r/m32
CMOVNLE r64, r/m64
CMOVNO r16, r/m16
CMOVNO r32, r/m32
CMOVNO r64, r/m64
CMOVNP r16, r/m16
CMOVNP r32, r/m32
CMOVNP r64, r/m64
CMOVNS r16, r/m16
CMOVNS r32, r/m32
CMOVNS r64, r/m64
CMOVNZ r16, r/m16
CMOVNZ r32, r/m32
CMOVNZ r64, r/m64
CMOVO r16, r/m16
CMOVO r32, r/m32
CMOVO r64, r/m64
CMOVP r16, r/m16
CMOVP r32, r/m32
CMOVP r64, r/m64
CMOVPE r16, r/m16
CMOVPE r32, r/m32
CMOVPE r64, r/m64
CMOVPO r16, r/m16
CMOVPO r32, r/m32
CMOVPO r64, r/m64
CMOVS r16, r/m16
CMOVS r32, r/m32
CMOVS r64, r/m64
CMOVZ r16, r/m16
CMOVZ r32, r/m32
CMOVZ r64, r/m64
CMP AL, imm8u
CMP AX, imm16
CMP EAX, imm32
CMP RAX, imm32
CMP r/m16, imm16
CMP r/m16, imm8
CMP r/m16, r16
CMP r/m32, imm32
CMP r/m32, imm8
CMP r/m32, r32
CMP r/m64, imm32
CMP r/m64, imm8
CMP r/m64, r64
CMP r/m8, imm8u
CMP r/m8, r8
CMP r16, r/m16
CMP r32, r/m32
CMP r64, r/m64
CMP r8, r/m8
CMPPD xmm1, xmm2/m128, imm8u
CMPPS xmm1, xmm2/m128, imm8u
CMPS m16, m16
CMPS m32, m32
CMPS m64, m64
CMPS m8, m8
CMPSB
CMPSD
CMPSD_XMM xmm1, xmm2/m64, imm8u
CMPSQ
CMPSS xmm1, xmm2/m32, imm8u
CMPSW
CMPXCHG r/m16, r16
CMPXCHG r/m32, r32
CMPXCHG r/m64, r64
CMPXCHG r/m8, r8
CMPXCHG16B m128
CMPXCHG8B m64
COMISD xmm1, xmm2/m64
COMISS xmm1, xmm2/m32
CPUID
CQO
CRC32 r32, r/m16
CRC32 r32, r/m32
CRC32 r32, r/m8
CRC32 r64, r/m64
CRC32 r64, r/m8
CVTDQ2PD xmm1, xmm2/m64
CVTDQ2PS xmm1, xmm2/m128
CVTPD2DQ xmm1, xmm2/m128
CVTPD2PI mm, xmm/m128
CVTPD2PS xmm1, xmm2/m128
CVTPI2PD xmm, mm/m64
CVTPI2PS xmm, mm/m64
CVTPS2DQ xmm1, xmm2/m128
CVTPS2PD xmm1, xmm2/m64
CVTPS2PI mm, xmm/m64
CVTSD2SI r32, xmm/m64
CVTSD2SI r64, xmm/m64
CVTSD2SS xmm1, xmm2/m64
CVTSI2SD xmm, r/m32
CVTSI2SD xmm, r/m64
CVTSI2SS xmm, r/m32
CVTSI2SS xmm, r/m64
CVTSS2SD xmm1, xmm2/m32
CVTSS2SI r32, xmm/m32
CVTSS2SI r64, xmm/m32
CVTTPD2DQ xmm1, xmm2/m128
CVTTPD2PI mm, xmm/m128
CVTTPS2DQ xmm1, xmm2/m128
CVTTPS2PI mm, xmm/m64
CVTTSD2SI r32, xmm/m64
CVTTSD2SI r64, xmm/m64
CVTTSS2SI r32, xmm/m32
CVTTSS2SI r64, xmm/m32
CWD
CWDE
DAA
DAS
DEC r/m16
DEC r/m32
DEC r/m64
DEC r/m8
DEC r16op
DEC r32op
DIV r/m16
DIV r/m32
DIV r/m64
DIV r/m8
DIVPD xmm1, xmm2/m128
DIVPS xmm1, xmm2/m128
DIVSD xmm1, xmm2/m64
DIVSS xmm1, xmm2/m32
DPPD xmm1, xmm2/m128, imm8u
DPPS xmm1, xmm2/m128, imm8u
EMMS
ENTER imm16u, 0
ENTER imm16u, 1
ENTER imm16u, imm8u
EXTRACTPS r/m32, xmm1, imm8u
F2XM1
FABS
FADD ST(0), ST(i)
FADD ST(i), ST(0)
FADD m32fp
FADD m64fp
FADDP
FADDP ST(i), ST(0)
FBLD m80dec
FBSTP m80bcd
FCHS
FCLEX
FCMOVB ST(0), ST(i)
FCMOVBE ST(0), ST(i)
FCMOVE ST(0), ST(i)
FCMOVNB ST(0), ST(i)
FCMOVNBE ST(0), ST(i)
FCMOVNE ST(0), ST(i)
FCMOVNU ST(0), ST(i)
FCMOVU ST(0), ST(i)
FCOM
FCOM ST(i)
FCOM m32fp
FCOM m64fp
FCOMI ST, ST(i)
FCOMIP ST, ST(i)
FCOMP
FCOMP ST(i)
FCOMP m32fp
FCOMP m64fp
FCOMPP
FCOS
FDECSTP
FDIV ST(0), ST(i)
FDIV ST(i), ST(0)
FDIV m32fp
FDIV m64fp
FDIVP
FDIVP ST(i), ST(0)
FDIVR ST(0), ST(i)
FDIVR ST(i), ST(0)
FDIVR m32fp
FDIVR m64fp
FDIVRP
FDIVRP ST(i), ST(0)
FFREE ST(i)
FFREEP ST(i)
FIADD m16int
FIADD m32int
FICOM m16int
FICOM m32int
FICOMP m16int
FICOMP m32int
FIDIV m16int
FIDIV m32int
FIDIVR m16int
FIDIVR m32int
FILD m16int
FILD m32int
FILD m64int
FIMUL m16int
FIMUL m32int
FINCSTP
FINIT
FIST m16int
FIST m32int
FISTP m16int
FISTP m32int
FISTP m64int
FISTTP m16int
FISTTP m32int
FISTTP m64int
FISUB m16int
FISUB m32int
FISUBR m16int
FISUBR m32int
FLD ST(i)
FLD m32fp
FLD m64fp
FLD m80fp
FLD1
FLDCW m2byte
FLDENV m14/28byte
FLDL2E
FLDL2T
FLDLG2
FLDLN2
FLDPI
FLDZ
FMUL ST(0), ST(i)
FMUL ST(i), ST(0)
FMUL m32fp
FMUL m64fp
FMULP
FMULP ST(i), ST(0)
FNCLEX
FNINIT
FNOP
FNSAVE m94/108byte
FNSTCW m2byte
FNSTENV m14/28byte
FNSTSW AX
FNSTSW m2byte
FPATAN
FPREM
FPREM1
FPTAN
FRNDINT
FRSTOR m94/108byte
FSAVE m94/108byte
FSCALE
FSIN
FSINCOS
FSQRT
FST ST(i)
FST m32fp
FST m64fp
FSTCW m2byte
FSTENV m14/28byte
FSTP ST(i)
FSTP m32fp
FSTP m64fp
FSTP m80fp
FSTSW AX
FSTSW m2byte
FSUB ST(0), ST(i)
FSUB ST(i), ST(0)
FSUB m32fp
FSUB m64fp
FSUBP
FSUBP ST(i), ST(0)
FSUBR ST(0), ST(i)
FSUBR ST(i), ST(0)
FSUBR m32fp
FSUBR m64fp
FSUBRP
FSUBRP ST(i), ST(0)
FTST
FUCOM
FUCOM ST(i)
FUCOMI ST, ST(i)
FUCOMIP ST, ST(i)
FUCOMP
FUCOMP ST(i)
FUCOMPP
FWAIT
FXAM
FXCH
FXCH ST(i)
FXRSTOR m512byte
FXRSTOR64 m512byte
FXSAVE m512byte
FXSAVE64 m512byte
FXTRACT
FYL2X
FYL2XP1
HADDPD xmm1, xmm2/m128
HADDPS xmm1, xmm2/m128
HLT
HSUBPD xmm1, xmm2/m128
HSUBPS xmm1, xmm2/m128
ICEBP
IDIV r/m16
IDIV r/m32
IDIV r/m64
IDIV r/m8
IMUL r/m16
IMUL r/m32
IMUL r/m64
IMUL r/m8
IMUL r16, r/m16
IMUL r16, r/m16, imm16
IMUL r16, r/m16, imm8
IMUL r32, r/m32
IMUL r32, r/m32, imm32
IMUL r32, r/m32, imm8
IMUL r64, r/m64
IMUL r64, r/m64, imm32
IMUL r64, r/m64, imm8
IN AL, DX
IN AL, imm8u
IN AX, DX
IN AX, imm8u
IN EAX, DX
IN EAX, imm8u
INC r/m16
INC r/m32
INC r/m64
INC r/m8
INC r16op
INC r32op
INS m16, DX
INS m32, DX
INS m8, DX
INSB
INSD
INSERTPS xmm1, xmm2/m32, imm8u
INSW
INT 3
INT imm8u
INTO
INVD
INVLPG m
INVPCID r32, m128
INVPCID r64, m128
IRET
IRETD
IRETQ
JA rel16
JA rel32
JA rel8
JAE rel16
JAE rel32
JAE rel8
JB rel16
JB rel32
JB rel8
JBE rel16
JBE rel32
JBE rel8
JC rel16
JC rel32
JC rel8
JCXZ rel8
JE rel16
JE rel32
JE rel8
JECXZ rel8
JG rel16
JG rel32
JG rel8
JGE rel16
JGE rel32
JGE rel8
JL rel16
JL rel32
JL rel8
JLE rel16
JLE rel32
JLE rel8
JMP r/m16
JMP r/m32
JMP r/m64
JMP rel16
JMP rel32
JMP rel8
JNA rel16
JNA rel32
JNA rel8
JNAE rel16
JNAE rel32
JNAE rel8
JNB rel16
JNB rel32
JNB rel8
JNBE rel16
JNBE rel32
JNBE rel8
JNC rel16
JNC rel32
JNC rel8
JNE rel16
JNE rel32
JNE rel8
JNG rel16
JNG rel32
JNG rel8
JNGE rel16
JNGE rel32
JNGE rel8
JNL rel16
JNL rel32
JNL rel8
JNLE rel16
JNLE rel32
JNLE rel8
JNO rel16
JNO rel32
JNO rel8
JNP rel16
JNP rel32
JNP rel8
JNS rel16
JNS rel32
JNS rel8
JNZ rel16
JNZ rel32
JNZ rel8
JO rel16
JO rel32
JO rel8
JP rel16
JP rel32
JP rel8
JPE rel16
JPE rel32
JPE rel8
JPO rel16
JPO rel32
JPO rel8
JRCXZ rel8
JS rel16
JS rel32
JS rel8
JZ rel16
JZ rel32
JZ rel8
LAHF
LAR r16, r/m16
LAR r32, r32/m16
LAR r64, r64/m16
LCALL m16:16
LCALL m16:32
LCALL m16:64
LCALL ptr16:16
LCALL ptr16:32
LDDQU xmm1, m128
LDMXCSR m32
LDS r16, m16:16
LDS r32, m16:32
LEA r16, m
LEA r32, m
LEA r64, m
LEAVE
LES r16, m16:16
LES r32, m16:32
LFENCE
LFS r16, m16:16
LFS r32, m16:32
LFS r64, m16:64
LGDT m16&32
LGDT m16&64
LGS r16, m16:16
LGS r32, m16:32
LGS r64, m16:64
LIDT m16&32
LIDT m16&64
LJMP m16:16
LJMP m16:32
LJMP m16:64
LJMP ptr16:16
LJMP ptr16:32
LLDT r/m16
LMSW r/m16
LOCK
LODS m16
LODS m32
LODS m64
LODS m8
LODSB
LODSD
LODSQ
LODSW
LOOP rel8
LOOPE rel8
LOOPNE rel8
LRET
LRET imm16u
LSL r16, r/m16
LSL r32, r32/m16
LSL r64, r32/m16
LSS r16, m16:16
LSS r32, m16:32
LSS r64, m16:64
LTR r/m16
LZCNT r16, r/m16
LZCNT r32, r/m32
LZCNT r64, r/m64
MASKMOVDQU xmm1, xmm2
MASKMOVQ mm1, mm2
MAXPD xmm1, xmm2/m128
MAXPS xmm1, xmm2/m128
MAXSD xmm1, xmm2/m64
MAXSS xmm1, xmm2/m32
MFENCE
MINPD xmm1, xmm2/m128
MINPS xmm1, xmm2/m128
MINSD xmm1, xmm2/m64
MINSS xmm1, xmm2/m32
MONITOR
MOV AL, moffs8
MOV AX, moffs16
MOV CR0-CR7, rmf32
MOV CR0-CR7, rmf64
MOV DR0-DR7, rmf32
MOV DR0-DR7, rmf64
MOV EAX, moffs32
MOV RAX, moffs64
MOV Sreg, r/m16
MOV Sreg, r32/m16
MOV Sreg, r64/m16
MOV TR0-TR7, rmf32
MOV TR0-TR7, rmf64
MOV moffs16, AX
MOV moffs32, EAX
MOV moffs64, RAX
MOV moffs8, AL
MOV r/m16,  imm16
MOV r/m16, Sreg
MOV r/m16, r16
MOV r/m32,  imm32
MOV r/m32, r32
MOV r/m64,  imm32
MOV r/m64, r64
MOV r/m8,  imm8u
MOV r/m8, r8
MOV r16, r/m16
MOV r16op, imm16
MOV r32, r/m32
MOV r32/m16, Sreg
MOV r32op, imm32
MOV r64, r/m64
MOV r64/m16, Sreg
MOV r64op, imm64
MOV r8, r/m8
MOV r8op, imm8u
MOV rmf32, CR0-CR7
MOV rmf32, DR0-DR7
MOV rmf32, TR0-TR7
MOV rmf64, CR0-CR7
MOV rmf64, DR0-DR7
MOV rmf64, TR0-TR7
MOVAPD xmm1, xmm2/m128
MOVAPD xmm2/m128, xmm1
MOVAPS xmm1, xmm2/m128
MOVAPS xmm2/m128, xmm1
MOVBE m16, r16
MOVBE m32, r32
MOVBE m64, r64
MOVBE r16, m16
MOVBE r32, m32
MOVBE r64, m64
MOVD mm, r/m32
MOVD r/m32, mm
MOVD r/m32, xmm
MOVD xmm, r/m32
MOVDDUP xmm1, xmm2/m64
MOVDQ2Q mm, xmm2
MOVDQA xmm1, xmm2/m128
MOVDQA xmm2/m128, xmm1
MOVDQU xmm1, xmm2/m128
MOVDQU xmm2/m128, xmm1
MOVHLPS xmm1, xmm2
MOVHPD xmm, xmm2/m64
MOVHPD xmm2/m64, xmm
MOVHPS m64, xmm
MOVHPS xmm, m64
MOVLHPS xmm1, xmm2
MOVLPD xmm, xmm2/m64
MOVLPD xmm2/m64, xmm
MOVLPS m64, xmm
MOVLPS xmm, m64
MOVMSKPD r32, xmm2
MOVMSKPS r32, xmm2
MOVNTDQ m128, xmm
MOVNTDQA xmm1, m128
MOVNTI m32, r32
MOVNTI m64, r64
MOVNTPD m128, xmm
MOVNTPS m128, xmm
MOVNTQ m64, mm
MOVNTSD m64, xmm
MOVNTSS m32, xmm
MOVQ mm, mm/m64
MOVQ mm, r/m64
MOVQ mm/m64, mm
MOVQ r/m64, mm
MOVQ r/m64, xmm
MOVQ xmm, r/m64
MOVQ xmm1, xmm2/m64
MOVQ xmm2/m64, xmm1
MOVQ2DQ xmm1, mm2
MOVS m16, m16
MOVS m32, m32
MOVS m64, m64
MOVS m8, m8
MOVSB
MOVSD
MOVSD_XMM xmm1, xmm2/m64
MOVSD_XMM xmm2/m64, xmm1
MOVSHDUP xmm1, xmm2/m128
MOVSLDUP xmm1, xmm2/m128
MOVSQ
MOVSS xmm1, xmm2/m32
MOVSS xmm2/m32, xmm
MOVSW
MOVSX r16, r/m16
MOVSX r16, r/m8
MOVSX r32, r/m16
MOVSX r32, r/m8
MOVSX r64, r/m16
MOVSX r64, r/m8
MOVSXD r16, r/m32
MOVSXD r32, r/m32
MOVSXD r64, r/m32
MOVUPD xmm1, xmm2/m128
MOVUPD xmm2/m128, xmm
MOVUPS xmm1, xmm2/m128
MOVUPS xmm2/m128, xmm1
MOVZX r16, r/m16
MOVZX r16, r/m8
MOVZX r32, r/m16
MOVZX r32, r/m8
MOVZX r64, r/m16
MOVZX r64, r/m8
MPSADBW xmm1, xmm2/m128, imm8u
MUL r/m16
MUL r/m32
MUL r/m64
MUL r/m8
MULPD xmm1, xmm2/m128
MULPS xmm1, xmm2/m128
MULSD xmm1, xmm2/m64
MULSS xmm1, xmm2/m32
MULX r32a, r32b, r/m32
MULX r64a, r64b, r/m64
MWAIT
NEG r/m16
NEG r/m32
NEG r/m64
NEG r/m8
NOP
NOP r/m16
NOP r/m32
NOT r/m16
NOT r/m32
NOT r/m64
NOT r/m8
OR AL, imm8u
OR AX, imm16
OR EAX, imm32
OR RAX, imm32
OR r/m16, imm16
OR r/m16, imm8
OR r/m16, r16
OR r/m32, imm32
OR r/m32, imm8
OR r/m32, r32
OR r/m64, imm32
OR r/m64, imm8
OR r/m64, r64
OR r/m8, imm8u
OR r/m8, r8
OR r16, r/m16
OR r32, r/m32
OR r64, r/m64
OR r8, r/m8
ORPD xmm1, xmm2/m128
ORPS xmm1, xmm2/m128
OUT DX, AL
OUT DX, AX
OUT DX, EAX
OUT imm8u, AL
OUT imm8u, AX
OUT imm8u, EAX
OUTS DX, m16
OUTS DX, m32
OUTS DX, m8
OUTSB
OUTSD
OUTSW
PABSB mm1, mm2/m64
PABSB xmm1, xmm2/m128
PABSD mm1, mm2/m64
PABSD xmm1, xmm2/m128
PABSW mm1, mm2/m64
PABSW xmm1, xmm2/m128
PACKSSDW mm1, mm2/m64
PACKSSDW xmm1, xmm2/m128
PACKSSWB mm1, mm2/m64
PACKSSWB xmm1, xmm2/m128
PACKUSDW xmm1, xmm2/m128
PACKUSWB mm, mm/m64
PACKUSWB xmm1, xmm2/m128
PADDB mm, mm/m64
PADDB xmm1, xmm2/m128
PADDD mm, mm/m64
PADDD xmm1, xmm2/m128
PADDQ mm1, mm2/m64
PADDQ xmm1, xmm2/m128
PADDSB mm, mm/m64
PADDSB xmm1, xmm2/m128
PADDSW mm, mm/m64
PADDSW xmm1, xmm2/m128
PADDUSB mm, mm/m64
PADDUSB xmm1, xmm2/m128
PADDUSW mm, mm/m64
PADDUSW xmm1, xmm2/m128
PADDW mm, mm/m64
PADDW xmm1, xmm2/m128
PALIGNR mm1, mm2/m64, imm8u
PALIGNR xmm1, xmm2/m128, imm8u
PAND mm, mm/m64
PAND xmm1, xmm2/m128
PANDN mm, mm/m64
PANDN xmm1, xmm2/m128
PAUSE
PAVGB mm1, mm2/m64
PAVGB xmm1, xmm2/m128
PAVGW mm1, mm2/m64
PAVGW xmm1, xmm2/m128
PBLENDVB xmm1, xmm2/m128, <XMM0>
PBLENDW xmm1, xmm2/m128, imm8u
PCLMULQDQ xmm1, xmm2/m128, imm8u
PCMPEQB mm, mm/m64
PCMPEQB xmm1, xmm2/m128
PCMPEQD mm, mm/m64
PCMPEQD xmm1, xmm2/m128
PCMPEQQ xmm1, xmm2/m128
PCMPEQW mm, mm/m64
PCMPEQW xmm1, xmm2/m128
PCMPESTRI xmm1, xmm2/m128, imm8u
PCMPESTRM xmm1, xmm2/m128, imm8u
PCMPGTB mm, mm/m64
PCMPGTB xmm1, xmm2/m128
PCMPGTD mm, mm/m64
PCMPGTD xmm1, xmm2/m128
PCMPGTQ xmm1, xmm2/m128
PCMPGTW mm, mm/m64
PCMPGTW xmm1, xmm2/m128
PCMPISTRI xmm1, xmm2/m128, imm8u
PCMPISTRM xmm1, xmm2/m128, imm8u
PDEP r32a, r32b, r/m32
PDEP r64a, r64b, r/m64
PEXT r32a, r32b, r/m32
PEXT r64a, r64b, r/m64
PEXTRB r32/m8, xmm1, imm8u
PEXTRD r/m32, xmm1, imm8u
PEXTRQ r/m64, xmm1, imm8u
PEXTRW r32, mm2, imm8u
PEXTRW r32, xmm2, imm8u
PEXTRW r32/m16, xmm1, imm8u
PHADDD mm1, mm2/m64
PHADDD xmm1, xmm2/m128
PHADDSW mm1, mm2/m64
PHADDSW xmm1, xmm2/m128
PHADDW mm1, mm2/m64
PHADDW xmm1, xmm2/m128
PHMINPOSUW xmm1, xmm2/m128
PHSUBD mm1, mm2/m64
PHSUBD xmm1, xmm2/m128
PHSUBSW mm1, mm2/m64
PHSUBSW xmm1, xmm2/m128
PHSUBW mm1, mm2/m64
PHSUBW xmm1, xmm2/m128
PINSRB xmm1, r32/m8, imm8u
PINSRD xmm1, r/m32, imm8u
PINSRQ xmm1, r/m64, imm8u
PINSRW mm, r32/m16, imm8u
PINSRW xmm, r32/m16, imm8u
PMADDUBSW mm1, mm2/m64
PMADDUBSW xmm1, xmm2/m128
PMADDWD mm, mm/m64
PMADDWD xmm1, xmm2/m128
PMAXSB xmm1, xmm2/m128
PMAXSD xmm1, xmm2/m128
PMAXSW mm1, mm2/m64
PMAXSW xmm1, xmm2/m128
PMAXUB mm1, mm2/m64
PMAXUB xmm1, xmm2/m128
PMAXUD xmm1, xmm2/m128
PMAXUW xmm1, xmm2/m128
PMINSB xmm1, xmm2/m128
PMINSD xmm1, xmm2/m128
PMINSW mm1, mm2/m64
PMINSW xmm1, xmm2/m128
PMINUB mm1, mm2/m64
PMINUB xmm1, xmm2/m128
PMINUD xmm1, xmm2/m128
PMINUW xmm1, xmm2/m128
PMOVMSKB r32, mm2
PMOVMSKB r32, xmm2
PMOVSXBD xmm1, xmm2/m32
PMOVSXBQ xmm1, xmm2/m16
PMOVSXBW xmm1, xmm2/m64
PMOVSXDQ xmm1, xmm2/m64
PMOVSXWD xmm1, xmm2/m64
PMOVSXWQ xmm1, xmm2/m32
PMOVZXBD xmm1, xmm2/m32
PMOVZXBQ xmm1, xmm2/m16
PMOVZXBW xmm1, xmm2/m64
PMOVZXDQ xmm1, xmm2/m64
PMOVZXWD xmm1, xmm2/m64
PMOVZXWQ xmm1, xmm2/m32
PMULDQ xmm1, xmm2/m128
PMULHRSW mm1, mm2/m64
PMULHRSW xmm1, xmm2/m128
PMULHUW mm1, mm2/m64
PMULHUW xmm1, xmm2/m128
PMULHW mm, mm/m64
PMULHW xmm1, xmm2/m128
PMULLD xmm1, xmm2/m128
PMULLW mm, mm/m64
PMULLW xmm1, xmm2/m128
PMULUDQ mm1, mm2/m64
PMULUDQ xmm1, xmm2/m128
POP DS
POP ES
POP FS
POP GS
POP SS
POP r/m16
POP r/m32
POP r/m64
POP r16op
POP r32op
POP r64op
POPA
POPAD
POPCNT r16, r/m16
POPCNT r32, r/m32
POPCNT r64, r/m64
POPF
POPFD
POPFQ
POR mm, mm/m64
POR xmm1, xmm2/m128
PREFETCHNTA m8
PREFETCHT0 m8
PREFETCHT1 m8
PREFETCHT2 m8
PREFETCHW m8
PSADBW mm1, mm2/m64
PSADBW xmm1, xmm2/m128
PSHUFB mm1, mm2/m64
PSHUFB xmm1, xmm2/m128
PSHUFD xmm1, xmm2/m128, imm8u
PSHUFHW xmm1, xmm2/m128, imm8u
PSHUFLW xmm1, xmm2/m128, imm8u
PSHUFW mm1, mm2/m64, imm8u
PSIGNB mm1, mm2/m64
PSIGNB xmm1, xmm2/m128
PSIGND mm1, mm2/m64
PSIGND xmm1, xmm2/m128
PSIGNW mm1, mm2/m64
PSIGNW xmm1, xmm2/m128
PSLLD mm, mm/m64
PSLLD mm2, imm8u
PSLLD xmm1, xmm2/m128
PSLLD xmm2, imm8u
PSLLDQ xmm2, imm8u
PSLLQ mm, mm/m64
PSLLQ mm2, imm8u
PSLLQ xmm1, xmm2/m128
PSLLQ xmm2, imm8u
PSLLW mm, mm/m64
PSLLW mm2, imm8u
PSLLW xmm1, xmm2/m128
PSLLW xmm2, imm8u
PSRAD mm, mm/m64
PSRAD mm2, imm8u
PSRAD xmm1, xmm2/m128
PSRAD xmm2, imm8u
PSRAW mm, mm/m64
PSRAW mm2, imm8u
PSRAW xmm1, xmm2/m128
PSRAW xmm2, imm8u
PSRLD mm, mm/m64
PSRLD mm2, imm8u
PSRLD xmm1, xmm2/m128
PSRLD xmm2, imm8u
PSRLDQ xmm2, imm8u
PSRLQ mm, mm/m64
PSRLQ mm2, imm8u
PSRLQ xmm1, xmm2/m128
PSRLQ xmm2, imm8u
PSRLW mm, mm/m64
PSRLW mm2, imm8u
PSRLW xmm1, xmm2/m128
PSRLW xmm2, imm8u
PSUBB mm, mm/m64
PSUBB xmm1, xmm2/m128
PSUBD mm, mm/m64
PSUBD xmm1, xmm2/m128
PSUBQ mm1, mm2/m64
PSUBQ xmm1, xmm2/m128
PSUBSB mm, mm/m64
PSUBSB xmm1, xmm2/m128
PSUBSW mm, mm/m64
PSUBSW xmm1, xmm2/m128
PSUBUSB mm, mm/m64
PSUBUSB xmm1, xmm2/m128
PSUBUSW mm, mm/m64
PSUBUSW xmm1, xmm2/m128
